文件名,总变量数,存在漏洞变量数,危险路径总数,可疑路径总数,存在漏洞的变量名,分析时间,源码文件路径
0xf45ddbb8c22b92186e6107c8ad5e323686355797,9,0,0,0,,2025-10-10T13:05:29.207929,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf45ddbb8c22b92186e6107c8ad5e323686355797.sol
0xf4b9240ab85dbd01fcd698a072aed4413d97eed4,8,0,0,0,,2025-10-10T13:05:51.991888,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf4b9240ab85dbd01fcd698a072aed4413d97eed4.sol
0xf4991089fdc65a9e23771adef47544742a0096c4,10,4,0,3,"totalSupply, spender, _from, _value",2025-10-10T13:05:30.672804,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf4991089fdc65a9e23771adef47544742a0096c4.sol
0xf3cfb35afdbffea20892488ba7f1574adda81b9d,39,5,0,0,"tokenContract, entryFee_, exitFee_, magnitude, stakingRequirement",2025-10-10T13:05:15.927851,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf3cfb35afdbffea20892488ba7f1574adda81b9d.sol
0xf40eb2f57db872e57b86ba36d4bc86a38a16e4d5,7,4,0,0,"totalSupply, balances, _initialAmount, _to",2025-10-10T13:05:46.292326,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf40eb2f57db872e57b86ba36d4bc86a38a16e4d5.sol
0xf3837fa9e62691a4eec8fd7d65ef8678d92eecf0,10,4,0,3,"totalSupply, spender, _from, _value",2025-10-10T13:05:25.611660,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf3837fa9e62691a4eec8fd7d65ef8678d92eecf0.sol
0xf37c4a962e70d813a4d9825942141cd9bc5169fd,42,1,0,1,totalSupply,2025-10-10T13:05:17.318517,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf37c4a962e70d813a4d9825942141cd9bc5169fd.sol
0xf4d9000456bc1e8922a18f3d58c1036aa1afbbc2,16,1,0,0,_tokenApprovals,2025-10-10T13:05:13.510708,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf4d9000456bc1e8922a18f3d58c1036aa1afbbc2.sol
0xf3dce610acbfbcbb4efc12c4c2e3be063128baad,17,5,0,9,"totalSupply, payouts, totalPayouts, balance, tokenCount",2025-10-10T13:06:08.067770,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf3dce610acbfbcbb4efc12c4c2e3be063128baad.sol
0xf47cd932ee150f60cd611c3cfdba51bd33b27ad1,9,4,0,2,"totalSupply, _from, _to, _value",2025-10-10T13:05:02.423201,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf47cd932ee150f60cd611c3cfdba51bd33b27ad1.sol
0xf40c5e190a608b6f8c0bf2b38c9506b327941402,42,2,0,0,"master, claimant",2025-10-10T13:05:44.400013,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf40c5e190a608b6f8c0bf2b38c9506b327941402.sol
0xf4ac7eccd66a282920c131f96e716e3457120e03,6,0,0,0,,2025-10-09T21:31:39.664142,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf4ac7eccd66a282920c131f96e716e3457120e03.sol
0xf4fb70638c4a83ffcec413a026b99a272b6f9933,11,0,0,0,,2025-10-10T13:05:50.664918,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf4fb70638c4a83ffcec413a026b99a272b6f9933.sol
0xf4dc44f1c618a5e4b6f372347e033ac5e77971a5,5,5,0,0,"totalSupply, to, value, spender, from",2025-10-10T13:05:17.877972,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf4dc44f1c618a5e4b6f372347e033ac5e77971a5.sol
0xf47f923b91422f47645f41425601c44f6b464300,31,11,0,10,"totalSupply, balances, round1, totalDistributed, requestMinimum, tokensPerEth, target0drop, progress0drop, distributionFinished, teamFund, _to",2025-10-10T13:05:09.784404,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf47f923b91422f47645f41425601c44f6b464300.sol
0xf4e3a095e2cad145793ec0f9fb5500e260514065,5,5,0,0,"totalSupply, to, value, spender, from",2025-10-10T13:05:20.447658,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf4e3a095e2cad145793ec0f9fb5500e260514065.sol
0xf4d9f469297d7c6a8c3962aa04ab37d6cfa66ee7,8,2,0,0,"_totalSupply, balances",2025-10-10T13:05:42.635016,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf4d9f469297d7c6a8c3962aa04ab37d6cfa66ee7.sol
0xf3eb09a1fd5a3e133a669074de1231d7a673744b,53,0,0,0,,2025-10-10T13:06:10.184659,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf3eb09a1fd5a3e133a669074de1231d7a673744b.sol
0xf46ec74202f414a8c05f9db7ff60869eb750d1c9,5,5,0,0,"totalSupply, to, value, spender, from",2025-10-10T13:05:53.268865,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf46ec74202f414a8c05f9db7ff60869eb750d1c9.sol
0xf45546fcb8c604703a0c5f1a652f01ce452ec511,23,12,0,2,"wallet, startTime, endTime, fundingGoal, minimumFundingGoal, price, weiRaised, stage1Bounty, stage2Bounty, stage3Bounty, stage4Bounty, fundingGoalReached",2025-10-10T13:05:03.189456,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf45546fcb8c604703a0c5f1a652f01ce452ec511.sol
0xf443aaaf1e0770a078b5e1b783e68eb71c9e2f0f,19,1,0,1,queryId,2025-10-10T13:05:37.175364,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf443aaaf1e0770a078b5e1b783e68eb71c9e2f0f.sol
0xf4c90e18727c5c76499ea6369c856a6d61d3e92e,6,4,0,0,"totalSupply, _value, _from, _spender",2025-10-10T13:05:05.414935,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf4c90e18727c5c76499ea6369c856a6d61d3e92e.sol
0xf46dbdd823ff23efe1cd21f71f030c2e48c97fe9,38,1,0,1,randomNumber,2025-10-10T13:06:02.787749,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf46dbdd823ff23efe1cd21f71f030c2e48c97fe9.sol
0xf4c571fb6dd704e58561cdd275fa4b80cfe82f76,9,0,0,0,,2025-10-10T13:05:35.234571,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf4c571fb6dd704e58561cdd275fa4b80cfe82f76.sol
0x47d4cc3d331525976553baff7c9e4d410087804a,7,1,0,0,contract_eth_value_bonus,2025-10-10T13:04:57.212910,/Users/almightyfish/Desktop/AChecker/AC/undependency/0x47d4cc3d331525976553baff7c9e4d410087804a.sol
0xf3620846825ba198be14cdbc5f2b41bbff788d67,23,0,0,0,,2025-10-10T13:05:56.044938,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf3620846825ba198be14cdbc5f2b41bbff788d67.sol
0xf4b98e542c233d1473d300599af892f53e285ce1,18,6,0,0,"admin_address, account_address, initSupply, totalSupply, oldValue, _to",2025-10-10T13:05:31.410654,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf4b98e542c233d1473d300599af892f53e285ce1.sol
